pedido_id,fecha_pedido,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes,tiempo_entrega
0000107,21/02:35,UBBB,OSDI,UBBB->OPKC (5.0h) | OPKC->OAKB (2.4h) | OAKB->VIDP (3.3h) | VIDP->OSDI (6.0h),143,34,16.63
0000107,21/02:35,UBBB,OSDI,UBBB->OPKC (5.0h) | OPKC->OSDI (5.0h),20,14,9.98
0000107,21/02:35,UBBB,OSDI,UBBB->OSDI (2.9h),14,0,2.85
0000108,21/15:20,UBBB,OERK,UBBB->OAKB (4.3h) | OAKB->VIDP (3.3h) | VIDP->OSDI (6.0h) | OSDI->OERK (2.8h),20,158,16.23
0000108,21/15:20,UBBB,OERK,UBBB->OAKB (4.3h) | OAKB->OERK (5.1h),9,149,9.38
0000108,21/15:20,UBBB,OERK,UBBB->OSDI (2.9h) | OSDI->OERK (2.8h),149,0,5.60
0000109,21/06:50,UBBB,OOMS,UBBB->OOMS (4.6h),178,0,4.55
0000110,21/19:35,UBBB,OYSN,UBBB->OOMS (4.6h) | OOMS->OYSN (4.2h),39,140,8.70
0000110,21/19:35,UBBB,OYSN,UBBB->OOMS (4.6h) | OOMS->OMDB (1.5h) | OMDB->OYSN (4.0h),140,0,10.02
0000111,22/12:15,UBBB,OMDB,UBBB->OOMS (4.6h) | OOMS->OMDB (1.5h),3,176,6.02
0000111,22/12:15,UBBB,OMDB,UBBB->OMDB (4.2h),21,155,4.17
0000111,22/12:15,UBBB,OMDB,UBBB->OMDB (4.2h),155,0,4.17
0000112,22/03:50,UBBB,OJAI,UBBB->OAKB (4.3h) | OAKB->OJAI (6.0h),180,0,10.27
0000113,22/16:25,EBCI,UMMS,EBCI->UMMS (4.1h),180,0,4.12
0000114,22/08:00,SPIM,SVMI,SPIM->SVMI (5.4h),181,0,5.43
0000115,22/21:15,SPIM,SKBO,SPIM->SVMI (5.4h) | SVMI->SKBO (2.4h),104,77,7.82
0000115,22/21:15,SPIM,SKBO,SPIM->SVMI (5.4h) | SVMI->SKBO (3.4h),35,42,8.82
0000115,22/21:15,SPIM,SKBO,SPIM->SKBO (4.3h),42,0,4.27
0000116,23/10:00,SPIM,SEQM,SPIM->SEQM (3.7h),148,34,3.68
0000116,23/10:00,SPIM,SEQM,SPIM->SEQM (3.7h),34,0,3.68
0000117,23/01:35,SPIM,SBBR,SPIM->SCEL (5.1h) | SCEL->SBBR (4.9h),182,0,9.92
0000118,23/14:20,SPIM,SLLP,SPIM->SCEL (5.1h) | SCEL->SBBR (4.9h) | SBBR->SLLP (3.8h),118,65,13.75
0000118,23/14:20,SPIM,SLLP,SPIM->SLLP (3.3h),65,0,3.33
0000119,23/05:50,SPIM,SCEL,SPIM->SCEL (5.1h),183,0,5.07
0000120,23/18:35,SPIM,SABE,SPIM->SCEL (5.1h) | SCEL->SABE (2.4h),157,27,7.47
